,nombre,latitud,longitud,ciudad,distancia,tipo
0,Vegan Streets Barcelona Glories,41.4100395,2.1939743,Barcelona,1072.0,Vegetarian / Vegan Restaurant
1,Vegan Junk Food Bar,41.38338564677454,2.1802550554275513,Barcelona,2421.0,Vegetarian / Vegan Restaurant
2,Monchito Vegan,41.380970639204,2.1798795461654663,Barcelona,2658.0,Vegetarian / Vegan Restaurant
3,ENJOY VEGAN,41.3881518,2.18067259999998,Barcelona,1996.0,Vegetarian / Vegan Restaurant
4,"Good Shit, Vegan Kebabs",41.402854,2.156511,Barcelona,3441.0,Shoe Store
5,Nae Vegan Shoes,41.383823,2.1817176,Barcelona,2310.0,Vegetarian / Vegan Restaurant
6,Monchito Vegan,41.38103,2.179852,Barcelona,2654.0,Cooking School
7,Toni Rodríguez Vegan Gastro Academy,41.424799,2.191571,Barcelona,2719.0,Accessories Store
8,Cuco Vegan Fashion,41.38232,2.1739783,Barcelona,2851.0,Vegetarian / Vegan Restaurant
9,All Vegan,41.38282,2.169548,Barcelona,3083.0,Vegetarian / Vegan Restaurant
10,Cal Veganic,41.3988234754918,2.1992558240890503,Barcelona,258.0,Building
11,Edifici Veganians,41.405634,2.178115,Barcelona,1716.0,Vegetarian / Vegan Restaurant
12,Pascuala Vegan,41.448598,2.249316,Badalona,6850.0,Vegetarian / Vegan Restaurant
13,Veganoteca,41.38280383231907,2.1643617866825533,Abrera,3425.0,Vegetarian / Vegan Restaurant
14,Veganashi,41.37267,2.1687887,Barcelona,3950.0,Deli / Bodega
15,EnjoyVegan,41.38814481227262,2.180385485092679,Barcelona,2014.0,Food & Drink Shop
16,Vēgere - Bellesa Vegana,41.402645,2.158763,Barcelona,3251.0,Vegetarian / Vegan Restaurant
17,Tamaka Barcelona Eixample,41.38962,2.1552452,Barcelona,3751.0,Vegetarian / Vegan Restaurant
18,Fira vegana,41.38601320303864,2.1798863377461486,Barcelona,2214.0,Health & Beauty Service
19,La Petita Vegana,41.421488,2.177424,Barcelona,2854.0,Fair
20,Falafel Vegano - de Shani,41.381904,2.171337,Barcelona,3040.0,Vegetarian / Vegan Restaurant
21,Veganizzimo,41.37547951652245,2.128968822755084,Barcelona,6389.0,Falafel Restaurant
22,Tulsi Vegana,41.38782,2.1611705,Barcelona,3370.0,Food & Drink Shop
23,"Dolzana, catering y pastelería vegana",41.4292295,2.16820293,Barcelona,4006.0,Vegetarian / Vegan Restaurant
24,2Y Restaurante Vegano y macrobiotico,41.3883039348524,2.1514320373535156,Barcelona,4101.0,Dessert Shop
25,Dolce Pizza & Los Veganos,41.407216675356565,2.163437514827742,Barcelona,2942.0,Café
26,"2Y Cuina Vegana, Energética y Macrobiòtica",41.38831,2.151386,Barcelona,4104.0,Vegetarian / Vegan Restaurant
27,Lujuria Vegana,41.35384681535545,2.107290647689885,Hospitalet de Llobregat,9179.0,Vegetarian / Vegan Restaurant
28,La Botiga Vegana,41.505804,2.345692,Premiá de Dalt,17006.0,Vegetarian / Vegan Restaurant
29,Beagle Pastissería Vegana,41.546154,2.1080356,Sabadell,17822.0,Pie Shop
30,Vegans N' Roses,41.26160958709081,1.9279194181376402,Castelldefels,27356.0,Food & Drink Shop
31,Lady Green Bio Vegetarian and Vegan Restaurant,41.23614657705326,1.8090992735562836,Sitges,37297.0,Vegetarian / Vegan Restaurant
32,Veggie Garden Restaurante Vegano,41.235158,1.806774,Sitges,37521.0,Vegetarian / Vegan Restaurant
33,ESTACIÓ VEGANA,41.71988169999999,2.2745231,Barcelona,36092.0,Vegetarian / Vegan Restaurant
0,Start Up Centre d'Estudis,41.428437816846994,2.1696550362820375,Barcelona,3862.0,School
1,Go StartUp Barcelona,41.389193,2.174339,Barcelona,2335.0,Event Space
2,POP-UP DESIGN STORE BARCELONA,41.40452923175655,2.2102153301239014,Barcelona,1129.0,Tech Startup
3,Redes-Up,41.41569096388387,2.1681923551794395,Barcelona,2964.0,Tech Startup
4,Social Startup Game Headquarters,41.40219279165925,2.193581298538389,Barcelona,371.0,General Entertainment
5,Stand Up Surf Shop,41.409268748893446,2.1899951495265335,Barcelona,1138.0,Office
6,Up Social,41.39959865854087,2.1881181759013604,Barcelona,805.0,Tech Startup
7,What's Up! Rambla,41.39071000771394,2.1639100722053417,Barcelona,3031.0,Office
8,What's Up! Pi i Margall,41.4076253,2.16337,Barcelona,2959.0,Board Shop
9,Stand-up Comedy Live! English Standup,41.3831401251004,2.176942527294159,Barcelona,2617.0,Coworking Space
10,Colors-Up Escuela de Maquillaje,41.39206608141786,2.1725594178384653,Barcelona,2308.0,Language School
11,Malva Make-up & Beauty Center,41.38720922534034,2.1604013442993164,Barcelona,3457.0,Language School
12,What's Up! Meridiana,41.4297161,2.1838113,Barcelona,3419.0,Sporting Goods Shop
13,Kenay Pop-up Store,41.404640197753906,2.177499771118164,Barcelona,1734.0,Comedy Club
14,Boutique Pop Up Nespresso Diagonal Mar,41.409651,2.216596,Barcelona,1865.0,School
15,Co&Cos Comunicación Think Up,41.39147247,2.1735006,Barcelona,2266.0,Nail Salon
16,stand up comedy club,41.39334,2.158222,Barcelona,3393.0,Language School
17,Space Up,41.40948433060321,2.1714640606128395,Barcelona,2389.0,Arts & Crafts Store
18,Up Headwear,41.388093,2.176382,Barcelona,2269.0,Café
19,Cosmetic Up,41.392028169241,2.1726157320151396,Barcelona,2305.0,Sporting Goods Shop
20,Line-Up Models,41.397115,2.160723,Barcelona,3109.0,Building
21,Up Headwear,41.38602,2.18007,Barcelona,2203.0,Comedy Club
