,nombre,latitud,longitud,ciudad,distancia,tipo
0,Vegan Streets Madrid Castellana,40.4424564,-3.679973,Madrid,6696,Vegetarian / Vegan Restaurant
1,Vegan Streets Madrid Centro,40.4175117,-3.6976358,Madrid,9696,Burger Joint
2,Vegan bistro,40.41941020023746,-3.679066382765086,Madrid,9243,Vegetarian / Vegan Restaurant
3,THUNDER VEGAN FOOD,40.42445,-3.702513,Madrid,9060,Vegetarian / Vegan Restaurant
4,vegetarian / vegan restaurant,40.432974,-3.686693,Madrid,7822,Vegetarian / Vegan Restaurant
5,Mad Mad Vegan,40.424183,-3.7007315,Madrid,9045,Vegetarian / Vegan Restaurant
6,Mad Mad Vegan,40.411118,-3.7029,Madrid,10495,Donut Shop
7,Los Andenes Vegan,40.435206,-3.710348,Madrid,8171,Donut Shop
8,Delish Vegan Doughnuts,40.42694912512703,-3.7100989203246573,Madrid,9010,Vegetarian / Vegan Restaurant
9,Delish Vegan Doughnuts,40.425026,-3.701933,Madrid,8984,Bridal Shop
10,Green Break Vegan Take Away,40.41374928145229,-3.713475465774536,Madrid,10485,Vegetarian / Vegan Restaurant
11,Veganovias,40.462573,-3.614641,Madrid,6498,Vegetarian / Vegan Restaurant
12,pura vida vegan bar,40.41020847303393,-3.709029348112721,Madrid,10737,Office
13,Vegan Rock,40.364865,-3.550834,Madrid,18368,Spanish Restaurant
14,"Edificio Veganova, Alcobendas",40.53677709681925,-3.624909436497265,Madrid,5476,Deli / Bodega
15,La Vegana de Madrid,40.45738604044665,-3.6514153171630985,Madrid,5258,Vegetarian / Vegan Restaurant
16,Mi Cabra Vegana,40.43714051642714,-3.641946315765381,Madrid,7650,Vegetarian / Vegan Restaurant
17,El Templo Vegano,40.426277,-3.6993492,Madrid,8788,Bakery
18,Lombarda Vegana,40.426772,-3.698705,Madrid,8721,Convenience Store
19,Alimentación Vegana,40.4224956,-3.6553774,Madrid,8972,Vegetarian / Vegan Restaurant
20,Vegania Veggie Bar,40.385241,-3.747971,Madrid,14564,Deli / Bodega
21,Planeta Vegano,40.410285211735406,-3.7005242358441492,Madrid,10535,Vegetarian / Vegan Restaurant
22,RESTAURANTE VEGANO PLANT GRILL,40.41558314100989,-3.701298236846924,Madrid,9980,Vegetarian / Vegan Restaurant
23,Dolce & Vegana,40.413803,-3.717875,Madrid,10614,Ice Cream Shop
24,Punto Vegano,40.42482121229684,-3.71585210102297,Madrid,9417,Vegetarian / Vegan Restaurant
25,Planeta Vegano,40.40853387654168,-3.700900810613643,Madrid,10732,Miscellaneous Shop
26,Encuentro Vegano,40.406691,-3.639279,Madrid,10967,Organic Grocery
27,Distrito Vegano,40.40697203771007,-3.6996788206851368,Madrid,10878,Vegetarian / Vegan Restaurant
28,La Vegana Vallekana,40.396416,-3.6677861,Madrid,11781,Vegetarian / Vegan Restaurant
29,Inmbiliaria Vega New House,40.391291,-3.724951,Madrid,13168,Office
30,La Huella Vegana,40.51762,-3.9257646,Las Rozas,21632,Vegetarian / Vegan Restaurant
31,Vegarania. Tienda Vegana Online,40.48420050759367,-3.3691442012786865,Alcalá de Henares,25629,Residential Building (Apartment / Condo)
32,Raskal Tienda Vegana,40.330682,-3.858661,Móstoles,24853,Health Food Store
0,Campus For Start Ups,40.412344,-3.718334,Madrid,10779,Community Center
1,ROI UP Agency,40.47594212178542,-3.6855576586049064,Madrid,3175,Coworking Space
2,Shape Up,40.460919,-3.680727,Madrid,4671,Gym / Fitness Center
3,What's Up! Orense,40.448430980949404,-3.698015213012695,Madrid,6410,Tech Startup
4,KIKO Make Up Milano,40.46925982785926,-3.641718877654826,Madrid,4426,Language School
5,way up,40.46523292195809,-3.640605332237293,Madrid,4854,Cosmetics Shop
6,Eventos Fly Up!,40.47294829145072,-3.630445003509522,Madrid,4731,Miscellaneous Shop
7,What's Up! Alcalá,40.435825,-3.642182,Madrid,7782,Event Service
8,Pop Up Space Daranya,40.458245,-3.659204,Madrid,4995,Language School
9,Vap-Up Cigarrillos Electrónicos,40.45612153663238,-3.7036344408988953,Madrid,5829,Bar
10,Be-Up,40.44956912037311,-3.6679462715942006,Madrid,5866,Event Space
11,What's Up! Juan Bravo,40.43177869063628,-3.6728833779220813,Madrid,7843,Electronics Store
12,Facultad de Teología de la UP Comillas,40.55042855772106,-3.6812782287597656,Alcobendas,5436,Coworking Space
13,What's Up! Fuencarral,40.42788,-3.702116,Madrid,8685,Language School
14,PICK UP Express,40.45916444446924,-3.7080390840585777,Madrid,5729,University
15,Mery Make-Up,40.443492,-3.695817,Madrid,6867,Other Great Outdoors
16,Sony Pool Up Store,40.42074966430664,-3.6994171142578125,Madrid,9383,Shopping Mall
17,Escuela Técnica Superior de Ingenieros Industriales - ETSII (UPM),40.43996217898623,-3.6894166867230958,Madrid,7104,Language School
18,START AND MOVE,40.39417580000001,-3.671290599999999,Madrid,12027,Pizza Place
