,nombre,latitud,longitud,ciudad,distancia,tipo
0,Omv! Vegan Burgers & More,40.757819,-73.985537,New York,392,Vegetarian / Vegan Restaurant
1,MTHR Vegan,40.762373,-73.98786700000001,New York,652,Vegetarian / Vegan Restaurant
2,Marty's Vegan Fast Foods,40.75016282882269,-73.98887112157107,New York,736,Food Truck
3,Happy Zoe Vegan Bakery,40.719246,-73.944252,New York,5681,Bakery
4,Maoz Vegan,40.751706,-73.974375,New York,1428,Vegetarian / Vegan Restaurant
5,Body & Soul Seasonal Vegan Bakery,40.73673444449884,-73.990378551888,New York,2226,Bakery
6,Urban Vegan Kitchen,40.730018792418896,-74.00354871522137,New York,3186,Vegetarian / Vegan Restaurant
7,MTHR Vegan,40.755147,-73.968016,New York,1858,Vegetarian / Vegan Restaurant
8,Ginger Root Vegan Restaurant,40.76247513665584,-73.9595827460289,New York,2640,Vegetarian / Vegan Restaurant
9,Nefista Vegan Kofteh,40.729404,-74.00088,New York,3178,Vegetarian / Vegan Restaurant
10,Vegan Love,40.728523,-73.983258,New York,3190,Vegetarian / Vegan Restaurant
11,Vegan Food Court,40.729,-73.989312,New York,3087,Vegetarian / Vegan Restaurant
12,Vegan AF,40.74502944946289,-74.05038452148438,Jersey City,5259,Vegetarian / Vegan Restaurant
13,The Vegan Palace,40.779112,-73.946269,New York,4447,Vegetarian / Vegan Restaurant
14,Franchia,40.74754904507587,-73.981123802193,New York,1264,Synagogue
15,Happy Zoe Vegan Bakery,40.724038,-73.949593,New York,4983,Vegetarian / Vegan Restaurant
16,Vegan Car Charge,40.712856214178174,-73.9475862774877,Brooklyn,6052,Bakery
17,vegan divas,40.708547697218954,-73.94315421581268,Brooklyn,6660,EV Charging Station
18,Miami's Original Vegan Food Truck,40.72261282467882,-74.0003142874853,New York,3897,Bakery
19,The Seed: A Vegan Experience HQ,40.722775639806954,-73.99915508111552,New York,3858,Vegetarian / Vegan Restaurant
20,Vegan Spot,40.732033,-74.071499,Jersey City,7406,Building
21,Vegan Nights,40.697059,-73.906216,New York,9697,Indian Restaurant
22,Veganlunchtruck,40.74491417929332,-73.99584958285124,New York,1405,Vegetarian / Vegan Restaurant
23,Wii Fit Gym ~ Vegan Central,40.71506118774414,-73.98038482666016,New York,4708,Vegetarian / Vegan Restaurant
24,A.T.M. Vegan Deli,40.721799,-73.95839,New York,4712,Gym
25,Wild Ginger Pan-Asian Vegan Cuisine,40.718986041942884,-73.9552670325744,New York,5120,Vegetarian / Vegan Restaurant
26,Vegan Market,40.696887,-73.93473,Brooklyn,8129,Vegetarian / Vegan Restaurant
27,Wildflower Vegan Pop-up Restaurant,40.713829040527344,-73.98966979980469,New York,4775,Vegetarian / Vegan Restaurant
28,Familiars Vegan Coffee Shop,40.686824,-73.923341,Brooklyn,9599,Vegetarian / Vegan Restaurant
29,Vegan Shop Up,40.70545603972797,-73.93287439927106,Brooklyn,7467,Coffee Shop
30,Heirloom Vegan Eatery,40.71015167236328,-73.96492767333984,Brooklyn,5598,Vegetarian / Vegan Restaurant
31,Greedi Vegan,40.676284,-73.952139,New York,9506,Vegetarian / Vegan Restaurant
32,Sweet Vegan Chocolates,40.8093603,-73.95752039999999,New York,6465,Vegetarian / Vegan Restaurant
33,American Vegan,40.678094,-73.968887,New York,8932,Chocolate Shop
34,Try Vegan,40.69758290951775,-73.98154805548008,New York,6622,Vegetarian / Vegan Restaurant
35,Seasoned Vegan,40.800625,-73.952693,New York,5809,Food Truck
36,"Tea NJ ""Vegan Friendly Cafe""",40.72306576170709,-74.04904445655535,Jersey City,6235,Vegetarian / Vegan Restaurant
37,Nefista-Vegan Koftah(Çig Köfte),40.82661831870663,-73.98717214971539,Cliffside Park,7783,Tea Room
38,Spread Vegan,40.67928243493098,-73.97296777588734,Brooklyn,8739,Turkish Restaurant
39,B.A.D. Gyal Vegan,40.681204,-73.956281,Brooklyn,8874,Vegetarian / Vegan Restaurant
40,Fat Boys Vegan Burgers,40.678868,-73.94948,New York,9316,Restaurant
41,Red Bamboo,40.731319,-74.000359,New York,2961,Vegetarian / Vegan Restaurant
42,The Green Vegan Monsta,40.687511,-73.918534,New York,9781,Vegetarian / Vegan Restaurant
